industry_code,industry_name,ticker,name,weight,declare_date
801130,纺织服饰,603557,*ST起步,0.4341,2021-12-13
801130,纺织服饰,603558,健盛集团,0.8206,2021-12-13
801130,纺织服饰,603587,地素时尚,0.5441,2021-12-13
801130,纺织服饰,603608,天创时尚,1.9447,2021-12-13
801130,纺织服饰,603665,康隆达,0.8568,2021-12-13
801130,纺织服饰,603808,歌力思,0.5509,2021-12-13
801130,纺织服饰,603839,安正时尚,0.2858,2021-12-13
801130,纺织服饰,603877,太平鸟,0.6913,2021-12-13
801130,纺织服饰,603889,新澳股份,1.2426,2021-12-13
801130,纺织服饰,603900,莱绅通灵,0.5704,2021-12-13
801130,纺织服饰,603908,牧高笛,0.2869,2021-12-13
801130,纺织服饰,603958,哈森股份,0.6653,2021-12-13
801130,纺织服饰,605003,众望布艺,0.2732,2021-12-13
801130,纺织服饰,605055,迎丰股份,0.3671,2021-12-13
801130,纺织服饰,605138,盛泰集团,0.3149,2021-12-13
801130,纺织服饰,605180,华生科技,0.2565,2021-12-13
801130,纺织服饰,605189,富春染织,0.5218,2021-12-13
801130,纺织服饰,605599,菜百股份,1.6006,2021-12-13
801130,纺织服饰,301177,迪阿股份,0.3928,2021-12-15
801130,纺织服饰,000017,深中华A,0.9147,2022-08-01
801130,纺织服饰,301066,万事利,0.6055,2022-08-01
801130,纺织服饰,301276,嘉曼服饰,0.3442,2022-09-09
801130,纺织服饰,603130,云中马,0.8019,2022-11-18
801130,纺织服饰,603307,扬州金泉,0.2453,2023-02-16
801130,纺织服饰,001234,泰慕士,0.2809,2024-07-31
801130,纺织服饰,002193,ST如意,0.384,2024-07-31
801130,纺织服饰,002404,嘉欣丝绸,0.7038,2024-07-31
801130,纺织服饰,002486,嘉麟杰,0.7472,2024-07-31
801130,纺织服饰,002634,*ST棒杰,0.5374,2024-07-31
801130,纺织服饰,002763,汇洁股份,0.4958,2024-07-31
801130,纺织服饰,600137,浪莎股份,0.3009,2024-07-31
801130,纺织服饰,603511,爱慕股份,0.2866,2024-07-31
801130,纺织服饰,001390,古麒绒材,0.5131,2025-05-29
801130,纺织服饰,603238,诺邦股份,0.3444,2025-08-13
801130,纺织服饰,001312,福恩股份,0.4025,2026-04-21
801130,纺织服饰,000026,飞亚达,1.5778,2021-12-13
801140,轻工制造,000659,珠海中富,0.827,2021-12-13
